Date,Price,"Vol., thsd."
05/04/2026,1565.75,0.53
02/04/2026,1481.75,37.5
01/04/2026,1365.25,42.27
31/03/2026,1365,46.72
30/03/2026,1398.5,43.52
27/03/2026,1373.5,55.09
26/03/2026,1337,43.92
25/03/2026,1182.75,57.31
24/03/2026,1295.5,48.43
23/03/2026,1287.75,84.91
20/03/2026,1348.5,56.65
19/03/2026,1329.5,90.82
18/03/2026,1259.25,97.36
17/03/2026,1165.75,74.52
16/03/2026,1160,74.32
13/03/2026,1133.25,80.11
12/03/2026,1097,2.81
11/03/2026,1097,23.85
10/03/2026,1042.5,40.51
09/03/2026,1166,37.23
06/03/2026,1057.75,168.11
05/03/2026,1034,202.18
04/03/2026,939.25,219.73
03/03/2026,962.25,317.07
02/03/2026,886.5,134.13
27/02/2026,752.75,69.4
26/02/2026,752,73.39
25/02/2026,729.25,55.84
24/02/2026,731.75,57.51
23/02/2026,746.5,68.4
20/02/2026,732.75,77.58
19/02/2026,727.75,115.07
18/02/2026,699,91.67
17/02/2026,672.25,74.33
16/02/2026,679,34.63
13/02/2026,672.5,77.41
12/02/2026,698.25,0.72
11/02/2026,698.25,19.98
10/02/2026,683,32.38
09/02/2026,693.25,34.89
06/02/2026,694,131.71
05/02/2026,683.5,99.01
04/02/2026,683.5,143.89
03/02/2026,680.75,144.55
02/02/2026,684,51.3
30/01/2026,742.5,61.58
29/01/2026,713.75,58.51
28/01/2026,698.25,65.8
27/01/2026,682.25,57.16
26/01/2026,679.75,70.43
23/01/2026,675.5,56.6
22/01/2026,671.25,95.75
21/01/2026,685.25,132.15
20/01/2026,666.5,91.31
19/01/2026,651.5,58.24
16/01/2026,654.75,68.21
15/01/2026,641,76.49
14/01/2026,659.25,139.86
13/01/2026,655,157.66
12/01/2026,632.25,0.99
09/01/2026,632.25,28.64
08/01/2026,609,37.53
07/01/2026,601,49.49
06/01/2026,613,95.66
05/01/2026,621,76.85
02/01/2026,611.25,20.79
31/12/2025,622.75,19.17
30/12/2025,628.75,27.12
29/12/2025,621.75,26.4
26/12/2025,619.75,11.32
25/12/2025,628.25,
24/12/2025,635.5,19.9
23/12/2025,627.25,28.94
22/12/2025,616.5,39.74
19/12/2025,607.5,50.99
18/12/2025,613.25,56.73
17/12/2025,614.75,70.92
16/12/2025,608.25,56.45
15/12/2025,622.5,61.58
12/12/2025,629.25,60.23
11/12/2025,653,0.53
10/12/2025,653,23.74
09/12/2025,648.5,39.79
08/12/2025,667,27.13
05/12/2025,671.75,94.84
04/12/2025,654.5,76.34
03/12/2025,664.5,44.79
02/12/2025,685,43.35
01/12/2025,690.5,38.04
28/11/2025,685.75,26.42
27/11/2025,678,27
26/11/2025,666.25,57.49
25/11/2025,684,70.52
24/11/2025,699,53.46
21/11/2025,711.75,94.94
20/11/2025,748.5,86.41
19/11/2025,768.25,123.06
18/11/2025,777.5,141.72
17/11/2025,743.75,92.29
14/11/2025,746,126.35
13/11/2025,719,102.5
12/11/2025,784.75,1.19
11/11/2025,784.75,20.38
10/11/2025,751,23.66
07/11/2025,760.75,35.06
06/11/2025,722,192.51
05/11/2025,721,183.72
04/11/2025,705.75,98.02
03/11/2025,707.5,87.75
31/10/2025,718.5,51.11
30/10/2025,723,57.28
29/10/2025,718.5,62.05
28/10/2025,709.75,59.3
27/10/2025,736.25,68.2
24/10/2025,718.75,55.69
23/10/2025,707.5,129.02
22/10/2025,658.75,105.28
21/10/2025,643.5,65.1
20/10/2025,640.5,57.69
17/10/2025,633,84.24
16/10/2025,643,73.14
15/10/2025,637.75,82.19
14/10/2025,641.5,99.5
13/10/2025,659.75,71.29
10/10/2025,683,3.36
09/10/2025,683,31.59
08/10/2025,678.5,34.12
07/10/2025,669.5,40.78
06/10/2025,668.5,42.16
03/10/2025,666.25,130.11
02/10/2025,668.25,126.92
01/10/2025,687.5,98.13
30/09/2025,694.5,65.4
29/09/2025,700.25,69.73
26/09/2025,733,72.9
25/09/2025,723.75,64.17
24/09/2025,710.75,66.58
23/09/2025,705.75,71.99
22/09/2025,689,74.81
19/09/2025,693.5,54.74
18/09/2025,702.5,60.61
17/09/2025,705.25,69.58
16/09/2025,712,98.98
15/09/2025,697.25,59.14
12/09/2025,691,106.67
11/09/2025,698.75,2.01
10/09/2025,698.75,29.95
09/09/2025,698.75,39.78
08/09/2025,694.75,31.65
05/09/2025,683.25,26.1
04/09/2025,691.75,90.88
03/09/2025,700,130.71
02/09/2025,703.5,56.67
01/09/2025,685,27.99
29/08/2025,675.25,33.14
28/08/2025,674.25,36.46
27/08/2025,674.5,48.06
26/08/2025,674.5,53.11
25/08/2025,690,27.2
22/08/2025,680.75,55.16
21/08/2025,679.5,76.91
20/08/2025,669,75.9
19/08/2025,659.5,65.4
18/08/2025,645.5,55.73
15/08/2025,656.5,42.32
14/08/2025,652.5,64.54
13/08/2025,648.75,93.05
12/08/2025,670.5,1.14
11/08/2025,670.5,27.09
08/08/2025,675.5,28.11
07/08/2025,670.25,30.6
06/08/2025,682.5,28.57
05/08/2025,664.5,72.03
04/08/2025,679.5,87.11
01/08/2025,681.75,43.12
31/07/2025,706,33.73
30/07/2025,709,45.35
29/07/2025,708.5,58.78
28/07/2025,708.75,39.77
25/07/2025,715.25,41.15
24/07/2025,706.75,57.15
23/07/2025,711.25,56.58
22/07/2025,715.5,82.59
21/07/2025,731,85.97
18/07/2025,726.25,161.03
17/07/2025,712.5,81.82
16/07/2025,691,66.11
15/07/2025,703.75,80.49
14/07/2025,701.75,86.09
11/07/2025,712.25,78.79
10/07/2025,774.5,0.77
09/07/2025,774.5,31.27
08/07/2025,769.5,32.77
07/07/2025,750.25,47.14
04/07/2025,701,68.81
03/07/2025,693.5,105.76
02/07/2025,684,102.21
01/07/2025,673,98.17
30/06/2025,677,36.31
27/06/2025,675,36.12
26/06/2025,692.75,36.38
25/06/2025,683.25,38.98
24/06/2025,668.25,70.69
23/06/2025,743.25,109.79
20/06/2025,758.5,85.23
19/06/2025,798.5,96.2
18/06/2025,734.25,110.79
17/06/2025,731,147.79
16/06/2025,685.25,176.94
13/06/2025,684.25,242.13
12/06/2025,645.25,1.57
11/06/2025,645.25,35.76
10/06/2025,652.5,54.94
09/06/2025,644.5,70.03
06/06/2025,631.75,61.61
05/06/2025,618.25,95.13
04/06/2025,609,120.76
03/06/2025,626.25,53.9
02/06/2025,613.75,45.9
30/05/2025,599,54.71
29/05/2025,608.25,48.68
28/05/2025,617.25,57.28
27/05/2025,606,64.82
26/05/2025,609.75,14.96
23/05/2025,612,55.81
22/05/2025,607.75,72.55
21/05/2025,611.25,93.2
20/05/2025,611.25,102.88
19/05/2025,617.25,68.65
16/05/2025,619,88.15
15/05/2025,623.25,144.25
14/05/2025,629.5,166.81
13/05/2025,625,150.64
12/05/2025,601.75,2.27
09/05/2025,601.75,40.04
08/05/2025,595.25,45.2
07/05/2025,583.25,47.16
06/05/2025,597,76.09
05/05/2025,575,85.41
02/05/2025,585.75,47.2
01/05/2025,590,83.08
30/04/2025,604.5,88.85
29/04/2025,615,73.56
28/04/2025,622.75,76.79
25/04/2025,628.5,41.36
24/04/2025,622,49.07
23/04/2025,617.75,89.36
22/04/2025,630.25,58.18
21/04/2025,619.5,28.85
17/04/2025,632.5,78.48
16/04/2025,620,100.4
15/04/2025,608,82.69
14/04/2025,610,79.67
11/04/2025,595.5,103.11
10/04/2025,579,2.49
09/04/2025,579,45.73
08/04/2025,610.5,51.55
07/04/2025,606,60.9
04/04/2025,615.75,57.33
03/04/2025,644.25,177.68
02/04/2025,682.25,117.63
01/04/2025,682.75,140.83
31/03/2025,682,77.8
28/03/2025,665.25,67.27
27/03/2025,672.25,82.01
26/03/2025,675.75,85.72
25/03/2025,667.25,99.79
24/03/2025,666.75,97.51
21/03/2025,662,60.23
20/03/2025,660.25,80.65
19/03/2025,652.5,93.39
18/03/2025,648,108.25
17/03/2025,648.75,109.72
14/03/2025,640.75,75.92
13/03/2025,644,128.4
12/03/2025,656.5,165.1
11/03/2025,653.25,164.33
10/03/2025,648.25,114.72
07/03/2025,657,191.99
06/03/2025,649.75,144.44
05/03/2025,642.25,132.63
04/03/2025,662,122.28
03/03/2025,671.25,109.75
28/02/2025,690.75,32.41
27/02/2025,694,40.27
26/02/2025,682.25,77.11
25/02/2025,695.25,44.99
24/02/2025,712,37.78
21/02/2025,717,60.93
20/02/2025,734.75,78.83
19/02/2025,724.25,83.24
18/02/2025,719.5,110.84
17/02/2025,711.5,55.45
14/02/2025,714.5,107.92
13/02/2025,709,125.18
12/02/2025,733.75,0.74
11/02/2025,733.75,42.66
10/02/2025,718,49.25
07/02/2025,706,45.61
06/02/2025,695,143.02
05/02/2025,696.75,102.66
04/02/2025,709,135.07
03/02/2025,712.25,192.29
31/01/2025,711.25,42.05
30/01/2025,709.5,38.3
29/01/2025,707.25,44.8
28/01/2025,701,42.37
27/01/2025,704.25,50.09
24/01/2025,721.75,57.61
23/01/2025,716.25,76.88
22/01/2025,727,105.61
21/01/2025,737,98.29
20/01/2025,746.75,73.01
17/01/2025,753.5,102.65
16/01/2025,754.5,118.52
15/01/2025,759.5,114.6
14/01/2025,741.5,125.25
13/01/2025,751.5,162.21
10/01/2025,709,1.67
09/01/2025,709,44.55
08/01/2025,693.75,41.81
07/01/2025,702.5,53.93
06/01/2025,705.25,57.43
03/01/2025,703,45.09
02/01/2025,710.25,33.36
31/12/2024,695.25,21.57
30/12/2024,692.25,38.18
27/12/2024,680.5,22.42
26/12/2024,671.25,12.01
24/12/2024,674,20.69
23/12/2024,669.5,37.5
20/12/2024,675.25,51.32
19/12/2024,679.25,55.58
18/12/2024,690.75,83.57
17/12/2024,673.25,66.45
16/12/2024,685.75,78.8
